,T_sortirovka,T_clone_sorted,T_sorted
0,0.03917431831359863,0.01955282688140869,0.0015866994857788087
1,0.10144205093383789,0.04091808795928955,0.0034832000732421876
2,0.18433840274810792,0.06409883499145508,0.005553793907165527
3,0.3100059270858765,0.0898745059967041,0.008297038078308106
4,0.4391200304031372,0.10868263244628906,0.010558485984802246
5,0.5966023921966552,0.13049583435058593,0.01243906021118164
6,0.7977125406265259,0.15466029644012452,0.015118050575256347
7,1.0218796014785767,0.17830381393432618,0.017421507835388185
8,1.267130732536316,0.1981177568435669,0.01947023868560791
9,1.5811587572097778,0.22181692123413085,0.0228623628616333
10,1.9024809360504151,0.24651601314544677,0.02507483959197998
11,2.192897844314575,0.26886346340179446,0.027139949798583984
12,2.5521319627761843,0.29209170341491697,0.029638075828552247
13,2.944641351699829,0.32326254844665525,0.03244750499725342
14,3.368490123748779,0.33631508350372313,0.03518939018249512
15,3.811276173591614,0.36188182830810545,0.038187170028686525
16,4.287157034873962,0.39066710472106936,0.041094398498535155
17,4.791248393058777,0.41262111663818357,0.044296789169311526
18,5.369904255867004,0.4503671646118164,0.04877827167510986
19,6.080418968200684,0.48129782676696775,0.05451610088348389
